StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4,Q3,Q5,Q5_9_TEXT,Q6,Q6_1_TEXT,Q8,Q9,Q10,Q11,Q12,Q12 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your email address here. Your responses will be sent to your inbox.,"Please enter your name, both first and last.",Year in Marching Band,Enter your instrument part - Selected Choice,Enter your instrument part - Other (include instrument) - Text,"Will you have a car available to drive members to gigs? If so, how many spots not including yourself? - Selected Choice","Will you have a car available to drive members to gigs? If so, how many spots not including yourself? - Yes - Text","Gig 1","Gig 2","Gig 3","Gig 4",What do you wish you had/will have time to do on the NYC Bowl Trip?,Q12 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_9_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID12_TEXT_4a393e4c9d97497abf51ce26Topics""}"
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test,Junior,Trumpet 1,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test2,Junior,Trumpet 1,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test3,Junior,Trumpet 1,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test4,Junior,Trumpet 2,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test5,Junior,Trumpet 2,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test6,Junior,Trumpet 2,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test7,Junior,Trumpet 3,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test8,Junior,Trumpet 3,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test9,Junior,Trumpet 3,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test10,Junior,Trombone 1,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test11,Junior,Trombone 1,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test12,Junior,Trombone 1,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test13,Junior,Trombone 2,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test14,Junior,Trombone 2,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test15,Junior,Trombone 2,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test16,Junior,Trombone 3,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test17,Junior,Trombone 3,,No,,Yes,Yes,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test18,Junior,Trombone 3,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test19,Junior,Tuba,,No,,Yes,No,No,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test20,Junior,Tuba,,No,,Yes,Yes,Yes,No,Ope,0
0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,test@test.gif,test21,Junior,Drums,,No,,Yes,No,No,No,Ope,0
